Key,Size,LastModified
"processed/",0,"2025-10-03T19:08:25+00:00"
"processed/error/",0,"2025-10-03T19:09:26+00:00"
"processed/incoming/",0,"2025-10-03T19:09:27+00:00"
"processed/incoming/incoming_arquivo.txt",21,"2025-10-03T19:10:54+00:00"
"processed/incoming/incoming_final.txt",23,"2025-10-03T19:16:57+00:00"
"processed/incoming/teste_entrada.txt",13,"2025-10-03T19:43:00+00:00"
"processed/processed/",0,"2025-10-03T19:09:32+00:00"
"processed/processed/error/",0,"2025-10-03T19:09:27+00:00"
"processed/processed/incoming/",0,"2025-10-03T19:09:29+00:00"
"processed/processed/incoming/incoming_arquivo.txt",21,"2025-10-03T19:10:55+00:00"
"processed/processed/incoming/incoming_final.txt",23,"2025-10-03T19:16:59+00:00"
"processed/processed/processed/",0,"2025-10-03T19:09:33+00:00"
"processed/processed/processed/error/",0,"2025-10-03T19:09:28+00:00"
"processed/processed/processed/incoming/",0,"2025-10-03T19:09:30+00:00"
"processed/processed/processed/incoming/incoming_arquivo.txt",21,"2025-10-03T19:10:56+00:00"
"processed/processed/processed/incoming/incoming_final.txt",23,"2025-10-03T19:17:00+00:00"
"processed/processed/processed/processed/",0,"2025-10-03T19:09:34+00:00"
"processed/processed/processed/processed/error/",0,"2025-10-03T19:09:29+00:00"
"processed/processed/processed/processed/incoming/",0,"2025-10-03T19:09:31+00:00"
"processed/processed/processed/processed/incoming/incoming_arquivo.txt",21,"2025-10-03T19:10:57+00:00"
"processed/processed/processed/processed/incoming/incoming_final.txt",23,"2025-10-03T19:17:01+00:00"
"processed/processed/processed/processed/processed/",0,"2025-10-03T19:09:35+00:00"
"processed/processed/processed/processed/processed/error/",0,"2025-10-03T19:09:30+00:00"
"processed/processed/processed/processed/processed/incoming/",0,"2025-10-03T19:09:35+00:00"
"processed/processed/processed/processed/processed/incoming/incoming_arquivo.txt",21,"2025-10-03T19:10:58+00:00"
"processed/processed/processed/processed/processed/incoming/incoming_final.txt",23,"2025-10-03T19:17:02+00:00"
"processed/processed/processed/processed/processed/processed/",0,"2025-10-03T19:09:36+00:00"
